关卡,关卡序号,关卡名称,类型,推荐等级,关卡倍率,敌方配置行数,敌方总数量,英雄配置行数,野怪配置行数,首通金币,每上阵英雄经验,限时秒数,时间奖励上限,战利品表,配置路径
ch01,1,第01关 · 野怪讨伐,creep,1,1,2,3,0,2,900,120,120,0.1,loot_basic,levels/ch01
ch02,2,第02关 · 野怪讨伐,creep,2,1.05,3,4,0,3,1000,160,120,0.1,loot_basic,levels/ch02
ch03,3,第03关 · 野怪讨伐,creep,3,1.1,4,5,0,4,1100,200,120,0.1,loot_basic,levels/ch03
ch04,4,第04关 · 野怪讨伐,creep,4,1.15,4,6,0,4,1200,250,120,0.1,loot_basic,levels/ch04
ch05,5,第05关 · 精英检查,hero,5,1.2,3,3,3,0,1000,320,120,0.1,loot_boss,levels/ch05
ch06,6,第06关 · 野怪讨伐,creep,6,1.25,3,6,0,3,3000,360,120,0.1,loot_basic,levels/ch06
ch07,7,第07关 · 英雄遭遇,hero,7,1.3,3,3,3,0,1400,420,120,0.1,loot_hero,levels/ch07
ch08,8,第08关 · 英雄遭遇,hero,8,1.35,3,3,3,0,1600,480,120,0.1,loot_hero,levels/ch08
ch09,9,第09关 · 英雄遭遇,hero,9,1.4,3,3,3,0,1800,540,120,0.1,loot_hero,levels/ch09
ch10,10,第10关 · 章节 Boss,hero,10,1.45,1,1,1,0,2500,650,120,0.1,loot_boss,levels/ch10
ch11,11,第11关 · 野怪讨伐,creep,11,1.5,4,7,0,4,5200,700,120,0.1,loot_basic,levels/ch11
ch12,12,第12关 · 英雄遭遇,hero,12,1.55,4,4,4,0,2500,760,120,0.1,loot_hero,levels/ch12
ch13,13,第13关 · 英雄遭遇,hero,13,1.6,4,4,4,0,2800,820,120,0.1,loot_hero,levels/ch13
ch14,14,第14关 · 英雄遭遇,hero,14,1.65,4,4,4,0,3100,900,120,0.1,loot_hero,levels/ch14
ch15,15,第15关 · 精英检查,hero,15,1.7,5,5,5,0,4000,1050,120,0.1,loot_boss,levels/ch15
ch16,16,第16关 · 野怪讨伐,creep,16,1.75,3,7,0,3,7500,1100,120,0.1,loot_basic,levels/ch16
ch17,17,第17关 · 英雄遭遇,hero,17,1.8,5,5,5,0,3600,1180,120,0.1,loot_hero,levels/ch17
ch18,18,第18关 · 英雄遭遇,hero,18,1.85,5,5,5,0,4000,1260,120,0.1,loot_hero,levels/ch18
ch19,19,第19关 · 英雄遭遇,hero,19,1.9,5,5,5,0,4400,1350,120,0.1,loot_hero,levels/ch19
ch20,20,第20关 · 章节 Boss,hero,20,1.95,1,1,1,0,5600,1550,120,0.1,loot_boss,levels/ch20
ch21,21,第21关 · 野怪讨伐,creep,21,2,4,8,0,4,9000,1600,120,0.1,loot_basic,levels/ch21
ch22,22,第22关 · 英雄遭遇,hero,22,2.05,6,6,6,0,4800,1700,120,0.1,loot_hero,levels/ch22
ch23,23,第23关 · 英雄遭遇,hero,23,2.1,6,6,6,0,5300,1800,120,0.1,loot_hero,levels/ch23
ch24,24,第24关 · 英雄遭遇,hero,24,2.15,6,6,6,0,5800,1900,120,0.1,loot_hero,levels/ch24
ch25,25,第25关 · 精英检查,hero,25,2.2,7,7,7,0,7200,2200,120,0.1,loot_boss,levels/ch25
ch26,26,第26关 · 野怪讨伐,creep,26,2.25,5,8,0,5,12000,2300,120,0.1,loot_basic,levels/ch26
ch27,27,第27关 · 英雄遭遇,hero,27,2.3,7,7,7,0,6500,2400,120,0.1,loot_hero,levels/ch27
ch28,28,第28关 · 英雄遭遇,hero,28,2.35,7,7,7,0,7600,2600,120,0.1,loot_hero,levels/ch28
ch29,29,第29关 · 英雄遭遇,hero,29,2.4,7,7,7,0,9000,3050,120,0.1,loot_hero,levels/ch29
ch30,30,第30关 · 最终 Boss,hero,30,2.45,1,1,1,0,15000,0,120,0.1,loot_boss,levels/ch30
