单位类型,单位名称,单位原生ID,出现配置次数,累计刷出数量,出现关卡,等级范围,Boss关卡
英雄,不朽尸王,npc_dota_hero_undying,1,1,ch24,28–28,
英雄,主宰,npc_dota_hero_juggernaut,2,2,ch10、ch23,14–27,
英雄,亚巴顿,npc_dota_hero_abaddon,1,1,ch22,26–26,
英雄,克林克兹,npc_dota_hero_clinkz,2,2,ch08、ch22,11–26,
英雄,全能骑士,npc_dota_hero_omniknight,1,1,ch23,27–27,
英雄,冥界亚龙,npc_dota_hero_viper,2,2,ch13、ch24,17–28,
英雄,冥魂大帝,npc_dota_hero_skeleton_king,2,2,ch15、ch30,19–30,ch30
英雄,剃刀,npc_dota_hero_razor,2,2,ch13、ch24,17–28,
英雄,剧毒术士,npc_dota_hero_venomancer,1,1,ch19,23–23,
英雄,力丸,npc_dota_hero_riki,2,2,ch10、ch23,14–27,
英雄,半人马战行者,npc_dota_hero_centaur,2,2,ch10、ch28,14–29,ch10
英雄,卓尔游侠,npc_dota_hero_drow_ranger,2,2,ch05、ch20,8–24,
英雄,哈斯卡,npc_dota_hero_huskar,2,2,ch08、ch27,11–29,
英雄,噬魂鬼,npc_dota_hero_life_stealer,2,2,ch17、ch30,21–30,
英雄,圣堂刺客,npc_dota_hero_templar_assassin,2,2,ch18、ch28,22–29,
英雄,复仇之魂,npc_dota_hero_vengefulspirit,1,1,ch18,22–22,
英雄,天怒法师,npc_dota_hero_skywrath_mage,1,1,ch20,24–24,
英雄,天涯墨客,npc_dota_hero_grimstroke,1,1,ch22,26–26,
英雄,宙斯,npc_dota_hero_zuus,2,2,ch20、ch30,24–30,
英雄,巨魔战将,npc_dota_hero_troll_warlord,2,2,ch15、ch27,19–29,
英雄,巫医,npc_dota_hero_witch_doctor,2,2,ch07、ch27,10–29,
英雄,巫妖,npc_dota_hero_lich,2,2,ch10、ch29,14–30,
英雄,帕格纳,npc_dota_hero_pugna,1,1,ch20,24–24,
英雄,干扰者,npc_dota_hero_disruptor,1,1,ch17,21–21,
英雄,幻影刺客,npc_dota_hero_phantom_assassin,2,2,ch09、ch22,12–26,
英雄,幻影长矛手,npc_dota_hero_phantom_lancer,2,2,ch17、ch28,21–29,
英雄,影魔,npc_dota_hero_nevermore,2,2,ch18、ch29,22–30,
英雄,戴泽,npc_dota_hero_dazzle,2,2,ch09、ch28,12–29,
英雄,拉席克,npc_dota_hero_leshrac,2,2,ch19、ch30,23–30,
英雄,敌法师,npc_dota_hero_antimage,2,2,ch17、ch28,21–29,
英雄,斧王,npc_dota_hero_axe,2,2,ch05、ch25,8–28,
英雄,斯拉克,npc_dota_hero_slark,2,2,ch15、ch27,19–29,
英雄,斯拉达,npc_dota_hero_slardar,2,2,ch14、ch29,18–30,
英雄,斯温,npc_dota_hero_sven,2,2,ch12、ch23,16–27,
英雄,暗夜魔王,npc_dota_hero_night_stalker,1,1,ch19,23–23,
英雄,暗影恶魔,npc_dota_hero_shadow_demon,1,1,ch22,26–26,
英雄,暗影萨满,npc_dota_hero_shadow_shaman,2,2,ch13、ch30,17–30,
英雄,术士,npc_dota_hero_warlock,2,2,ch14、ch30,18–30,
英雄,杰奇洛,npc_dota_hero_jakiro,1,1,ch15,19–19,
英雄,树精卫士,npc_dota_hero_treant,1,1,ch24,28–28,
英雄,死亡先知,npc_dota_hero_death_prophet,2,2,ch18、ch29,22–30,
英雄,水晶室女,npc_dota_hero_crystal_maiden,2,2,ch05、ch27,8–29,
英雄,沉默术士,npc_dota_hero_silencer,1,1,ch23,27–27,
英雄,沙王,npc_dota_hero_sand_king,2,2,ch09、ch27,12–29,
英雄,混沌骑士,npc_dota_hero_chaos_knight,1,1,ch18,22–22,
英雄,潮汐猎人,npc_dota_hero_tidehunter,2,2,ch12、ch28,16–29,
英雄,熊战士,npc_dota_hero_ursa,2,2,ch17、ch27,21–29,
英雄,狙击手,npc_dota_hero_sniper,2,2,ch07、ch22,10–26,
英雄,痛苦女王,npc_dota_hero_queenofpain,2,2,ch19、ch30,23–30,
英雄,瘟疫法师,npc_dota_hero_necrolyte,2,2,ch19、ch29,23–30,
英雄,矮人直升机,npc_dota_hero_gyrocopter,2,2,ch14、ch25,18–28,
英雄,神谕者,npc_dota_hero_oracle,2,2,ch08、ch28,11–29,
英雄,祸乱之源,npc_dota_hero_bane,1,1,ch23,27–27,
英雄,莉娜,npc_dota_hero_lina,2,2,ch12、ch24,16–28,
英雄,莱恩,npc_dota_hero_lion,2,2,ch12、ch29,16–30,
英雄,血魔,npc_dota_hero_bloodseeker,2,2,ch15、ch25,19–28,
英雄,裂魂人,npc_dota_hero_spirit_breaker,1,1,ch20,24–24,ch20
英雄,远古冰魄,npc_dota_hero_ancient_apparition,1,1,ch20,24–24,
英雄,邪影芳灵,npc_dota_hero_dark_willow,1,1,ch25,28–28,
英雄,钢背兽,npc_dota_hero_bristleback,2,2,ch13、ch29,17–30,
英雄,露娜,npc_dota_hero_luna,2,2,ch14、ch25,18–28,
英雄,食人魔魔法师,npc_dota_hero_ogre_magi,1,1,ch25,28–28,
英雄,魅惑魔女,npc_dota_hero_enchantress,1,1,ch24,28–28,
英雄,龙骑士,npc_dota_hero_dragon_knight,2,2,ch07、ch25,10–28,
野怪,半人马可汗,npc_dota_neutral_centaur_khan,4,5,ch01、ch02、ch03、ch04,1–5,
野怪,头狼,npc_dota_neutral_alpha_wolf,1,1,ch02,2–2,
野怪,极地熊怪勇士,npc_dota_neutral_polar_furbolg_champion,5,8,ch06、ch11、ch16、ch21、ch26,8–30,
野怪,狗头人,npc_dota_neutral_kobold,3,3,ch11、ch21、ch26,15–30,
野怪,萨特地狱使者,npc_dota_neutral_satyr_hellcaller,2,2,ch03、ch04,3–5,
野怪,豺狼刺客,npc_dota_neutral_gnoll_assassin,7,16,ch03、ch04、ch06、ch11、ch16、ch21、ch26,3–30,
野怪,食人魔拳手,npc_dota_neutral_ogre_mauler,4,8,ch01、ch02、ch03、ch04,1–5,
野怪,黑暗巨魔首领,npc_dota_neutral_dark_troll_warlord,5,10,ch06、ch11、ch16、ch21、ch26,8–30,
野怪,黑龙,npc_dota_neutral_black_dragon,1,1,ch26,30–30,
