关卡,关卡序号,关卡名称,配置序号,单位类型,单位名称,单位原生ID,数量,等级,AI类型,AI说明,标签,是否Boss,模板,生命倍率,攻击倍率,额外护甲,魔法抗性%,状态抗性%,Boss最大生命,Boss生命倍率,Boss攻击伤害+%,Boss额外护甲,Boss最终魔抗目标%,Boss魔抗乘算加成%,Boss法术增幅+%,Boss冷却减少%,装备数量,装备合计（中文）,装备合计（原生ID）,配置路径,装备1（中文）,装备1（原生ID）,装备2（中文）,装备2（原生ID）,装备3（中文）,装备3（原生ID）,装备4（中文）,装备4（原生ID）,装备5（中文）,装备5（原生ID）,装备6（中文）,装备6（原生ID）
ch01,1,第01关 · 野怪讨伐,1,野怪,半人马可汗,npc_dota_neutral_centaur_khan,1,1,simple_nearest,最近目标（野怪）,,否,standard,1,1,0,25,0,,,,,,,,,0,,,levels/ch01/enemies/1,,,,,,,,,,,,
ch01,1,第01关 · 野怪讨伐,2,野怪,食人魔拳手,npc_dota_neutral_ogre_mauler,2,1,simple_nearest,最近目标（野怪）,,否,standard,1,1,0,25,0,,,,,,,,,0,,,levels/ch01/enemies/2,,,,,,,,,,,,
ch02,2,第02关 · 野怪讨伐,1,野怪,半人马可汗,npc_dota_neutral_centaur_khan,1,2,simple_nearest,最近目标（野怪）,,否,standard,1.1,1.05,1,26,1,,,,,,,,,0,,,levels/ch02/enemies/1,,,,,,,,,,,,
ch02,2,第02关 · 野怪讨伐,2,野怪,头狼,npc_dota_neutral_alpha_wolf,1,2,focus_lowest_hp,优先最低生命,,否,specialist,1.1,1.05,1,26,1,,,,,,,,,0,,,levels/ch02/enemies/2,,,,,,,,,,,,
ch02,2,第02关 · 野怪讨伐,3,野怪,食人魔拳手,npc_dota_neutral_ogre_mauler,2,2,simple_nearest,最近目标（野怪）,,否,standard,1.1,1.05,1,26,1,,,,,,,,,0,,,levels/ch02/enemies/3,,,,,,,,,,,,
ch03,3,第03关 · 野怪讨伐,1,野怪,半人马可汗,npc_dota_neutral_centaur_khan,1,3,simple_nearest,最近目标（野怪）,,否,standard,1.2,1.1,2,27,2,,,,,,,,,0,,,levels/ch03/enemies/1,,,,,,,,,,,,
ch03,3,第03关 · 野怪讨伐,2,野怪,萨特地狱使者,npc_dota_neutral_satyr_hellcaller,1,3,focus_lowest_hp,优先最低生命,,否,specialist,1.2,1.1,2,27,2,,,,,,,,,0,,,levels/ch03/enemies/2,,,,,,,,,,,,
ch03,3,第03关 · 野怪讨伐,3,野怪,食人魔拳手,npc_dota_neutral_ogre_mauler,2,3,simple_nearest,最近目标（野怪）,,否,standard,1.2,1.1,2,27,2,,,,,,,,,0,,,levels/ch03/enemies/3,,,,,,,,,,,,
ch03,3,第03关 · 野怪讨伐,4,野怪,豺狼刺客,npc_dota_neutral_gnoll_assassin,1,3,simple_nearest,最近目标（野怪）,,否,standard,1.2,1.1,2,27,2,,,,,,,,,0,,,levels/ch03/enemies/4,,,,,,,,,,,,
ch04,4,第04关 · 野怪讨伐,1,野怪,半人马可汗,npc_dota_neutral_centaur_khan,2,5,simple_nearest,最近目标（野怪）,,否,standard,1.35,1.2,3,28,3,,,,,,,,,0,,,levels/ch04/enemies/1,,,,,,,,,,,,
ch04,4,第04关 · 野怪讨伐,2,野怪,萨特地狱使者,npc_dota_neutral_satyr_hellcaller,1,5,focus_lowest_hp,优先最低生命,,否,specialist,1.35,1.2,3,28,3,,,,,,,,,0,,,levels/ch04/enemies/2,,,,,,,,,,,,
