关卡,配置序号,单位原生ID,字段,运行时 levels.kv,维护 levels_v07.json
ch05,1,npc_dota_hero_axe,level,8,30
ch05,2,npc_dota_hero_drow_ranger,level,8,30
ch05,3,npc_dota_hero_crystal_maiden,level,8,30
ch07,1,npc_dota_hero_dragon_knight,level,10,30
ch07,2,npc_dota_hero_sniper,level,10,30
ch07,3,npc_dota_hero_witch_doctor,level,10,30
ch08,1,npc_dota_hero_huskar,level,11,30
ch08,2,npc_dota_hero_clinkz,level,11,30
ch08,3,npc_dota_hero_oracle,level,11,30
ch09,1,npc_dota_hero_sand_king,level,12,30
ch09,2,npc_dota_hero_phantom_assassin,level,12,30
ch09,3,npc_dota_hero_dazzle,level,12,30
ch10,1,npc_dota_hero_centaur,level,14,30
ch12,1,npc_dota_hero_tidehunter,level,16,30
ch12,2,npc_dota_hero_sven,level,16,30
ch12,3,npc_dota_hero_lina,level,16,30
ch12,4,npc_dota_hero_lion,level,16,30
ch13,1,npc_dota_hero_bristleback,level,17,30
ch13,2,npc_dota_hero_razor,level,17,30
ch13,3,npc_dota_hero_viper,level,17,30
ch13,4,npc_dota_hero_shadow_shaman,level,17,30
ch14,1,npc_dota_hero_slardar,level,18,30
ch14,2,npc_dota_hero_luna,level,18,30
ch14,3,npc_dota_hero_gyrocopter,level,18,30
ch14,4,npc_dota_hero_warlock,level,18,30
ch15,1,npc_dota_hero_skeleton_king,level,19,30
ch15,2,npc_dota_hero_bloodseeker,level,19,30
ch15,3,npc_dota_hero_slark,level,19,30
ch15,4,npc_dota_hero_troll_warlord,level,19,30
ch15,5,npc_dota_hero_jakiro,level,19,30
ch17,1,npc_dota_hero_life_stealer,level,21,30
ch17,2,npc_dota_hero_ursa,level,21,30
ch17,3,npc_dota_hero_antimage,level,21,30
ch17,4,npc_dota_hero_phantom_lancer,level,21,30
ch17,5,npc_dota_hero_disruptor,level,21,30
ch18,1,npc_dota_hero_chaos_knight,level,22,30
ch18,2,npc_dota_hero_templar_assassin,level,22,30
ch18,3,npc_dota_hero_nevermore,level,22,30
ch18,4,npc_dota_hero_death_prophet,level,22,30
ch18,5,npc_dota_hero_vengefulspirit,level,22,30
ch19,1,npc_dota_hero_night_stalker,level,23,30
ch19,2,npc_dota_hero_necrolyte,level,23,30
ch19,3,npc_dota_hero_queenofpain,level,23,30
ch19,4,npc_dota_hero_leshrac,level,23,30
ch19,5,npc_dota_hero_venomancer,level,23,30
ch20,1,npc_dota_hero_spirit_breaker,level,24,30
ch22,1,npc_dota_hero_abaddon,level,26,30
ch22,2,npc_dota_hero_sniper,level,26,30
ch22,3,npc_dota_hero_clinkz,level,26,30
ch22,4,npc_dota_hero_phantom_assassin,level,26,30
ch22,5,npc_dota_hero_grimstroke,level,26,30
ch22,6,npc_dota_hero_shadow_demon,level,26,30
ch23,1,npc_dota_hero_omniknight,level,27,30
ch23,2,npc_dota_hero_riki,level,27,30
ch23,3,npc_dota_hero_juggernaut,level,27,30
ch23,4,npc_dota_hero_sven,level,27,30
ch23,5,npc_dota_hero_bane,level,27,30
ch23,6,npc_dota_hero_silencer,level,27,30
ch24,1,npc_dota_hero_undying,level,28,30
ch24,2,npc_dota_hero_lina,level,28,30
ch24,3,npc_dota_hero_razor,level,28,30
ch24,4,npc_dota_hero_viper,level,28,30
ch24,5,npc_dota_hero_treant,level,28,30
ch24,6,npc_dota_hero_enchantress,level,28,30
ch25,1,npc_dota_hero_axe,level,28,30
ch25,2,npc_dota_hero_luna,level,28,30
ch25,3,npc_dota_hero_gyrocopter,level,28,30
ch25,4,npc_dota_hero_bloodseeker,level,28,30
ch25,5,npc_dota_hero_ogre_magi,level,28,30
ch25,6,npc_dota_hero_dragon_knight,level,28,30
ch25,7,npc_dota_hero_dark_willow,level,28,30
ch27,1,npc_dota_hero_huskar,level,29,30
ch27,2,npc_dota_hero_slark,level,29,30
ch27,3,npc_dota_hero_troll_warlord,level,29,30
ch27,4,npc_dota_hero_ursa,level,29,30
ch27,5,npc_dota_hero_crystal_maiden,level,29,30
ch27,6,npc_dota_hero_sand_king,level,29,30
ch27,7,npc_dota_hero_witch_doctor,level,29,30
ch28,1,npc_dota_hero_centaur,level,29,30
ch28,2,npc_dota_hero_antimage,level,29,30
ch28,3,npc_dota_hero_phantom_lancer,level,29,30
ch28,4,npc_dota_hero_templar_assassin,level,29,30
ch28,5,npc_dota_hero_oracle,level,29,30
ch28,6,npc_dota_hero_tidehunter,level,29,30
ch28,7,npc_dota_hero_dazzle,level,29,30
