关卡,关卡序号,配置序号,单位名称,单位原生ID,单位等级,标签,装备槽,装备中文名,装备原生ID,配置路径
ch05,5,1,斧王,npc_dota_hero_axe,8,elite,1,相位鞋,item_phase_boots,levels/ch05/enemies/1/items/1
ch05,5,1,斧王,npc_dota_hero_axe,8,elite,2,闪烁匕首,item_blink,levels/ch05/enemies/1/items/2
ch05,5,1,斧王,npc_dota_hero_axe,8,elite,3,魔杖,item_magic_wand,levels/ch05/enemies/1/items/3
ch05,5,2,卓尔游侠,npc_dota_hero_drow_ranger,8,hero,1,动力鞋,item_power_treads,levels/ch05/enemies/2/items/1
ch05,5,2,卓尔游侠,npc_dota_hero_drow_ranger,8,hero,2,魔龙枪,item_dragon_lance,levels/ch05/enemies/2/items/2
ch05,5,2,卓尔游侠,npc_dota_hero_drow_ranger,8,hero,3,魔杖,item_magic_wand,levels/ch05/enemies/2/items/3
ch05,5,3,水晶室女,npc_dota_hero_crystal_maiden,8,hero,1,奥术鞋,item_arcane_boots,levels/ch05/enemies/3/items/1
ch05,5,3,水晶室女,npc_dota_hero_crystal_maiden,8,hero,2,微光披风,item_glimmer_cape,levels/ch05/enemies/3/items/2
ch05,5,3,水晶室女,npc_dota_hero_crystal_maiden,8,hero,3,魔杖,item_magic_wand,levels/ch05/enemies/3/items/3
ch07,7,1,龙骑士,npc_dota_hero_dragon_knight,10,hero,1,动力鞋,item_power_treads,levels/ch07/enemies/1/items/1
ch07,7,1,龙骑士,npc_dota_hero_dragon_knight,10,hero,2,闪烁匕首,item_blink,levels/ch07/enemies/1/items/2
ch07,7,1,龙骑士,npc_dota_hero_dragon_knight,10,hero,3,莫尔迪基安的臂章,item_armlet,levels/ch07/enemies/1/items/3
ch07,7,1,龙骑士,npc_dota_hero_dragon_knight,10,hero,4,魔杖,item_magic_wand,levels/ch07/enemies/1/items/4
ch07,7,2,狙击手,npc_dota_hero_sniper,10,hero,1,动力鞋,item_power_treads,levels/ch07/enemies/2/items/1
ch07,7,2,狙击手,npc_dota_hero_sniper,10,hero,2,漩涡,item_maelstrom,levels/ch07/enemies/2/items/2
ch07,7,2,狙击手,npc_dota_hero_sniper,10,hero,3,魔龙枪,item_dragon_lance,levels/ch07/enemies/2/items/3
ch07,7,2,狙击手,npc_dota_hero_sniper,10,hero,4,魔杖,item_magic_wand,levels/ch07/enemies/2/items/4
ch07,7,3,巫医,npc_dota_hero_witch_doctor,10,hero,1,奥术鞋,item_arcane_boots,levels/ch07/enemies/3/items/1
ch07,7,3,巫医,npc_dota_hero_witch_doctor,10,hero,2,微光披风,item_glimmer_cape,levels/ch07/enemies/3/items/2
ch07,7,3,巫医,npc_dota_hero_witch_doctor,10,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch07/enemies/3/items/3
ch07,7,3,巫医,npc_dota_hero_witch_doctor,10,hero,4,魔杖,item_magic_wand,levels/ch07/enemies/3/items/4
ch08,8,1,哈斯卡,npc_dota_hero_huskar,11,hero,1,动力鞋,item_power_treads,levels/ch08/enemies/1/items/1
ch08,8,1,哈斯卡,npc_dota_hero_huskar,11,hero,2,莫尔迪基安的臂章,item_armlet,levels/ch08/enemies/1/items/2
ch08,8,1,哈斯卡,npc_dota_hero_huskar,11,hero,3,天堂之戟,item_heavens_halberd,levels/ch08/enemies/1/items/3
ch08,8,1,哈斯卡,npc_dota_hero_huskar,11,hero,4,魔杖,item_magic_wand,levels/ch08/enemies/1/items/4
ch08,8,2,克林克兹,npc_dota_hero_clinkz,11,hero,1,动力鞋,item_power_treads,levels/ch08/enemies/2/items/1
ch08,8,2,克林克兹,npc_dota_hero_clinkz,11,hero,2,黯灭,item_desolator,levels/ch08/enemies/2/items/2
ch08,8,2,克林克兹,npc_dota_hero_clinkz,11,hero,3,魔龙枪,item_dragon_lance,levels/ch08/enemies/2/items/3
ch08,8,2,克林克兹,npc_dota_hero_clinkz,11,hero,4,魔杖,item_magic_wand,levels/ch08/enemies/2/items/4
ch08,8,3,神谕者,npc_dota_hero_oracle,11,hero,1,奥术鞋,item_arcane_boots,levels/ch08/enemies/3/items/1
ch08,8,3,神谕者,npc_dota_hero_oracle,11,hero,2,微光披风,item_glimmer_cape,levels/ch08/enemies/3/items/2
ch08,8,3,神谕者,npc_dota_hero_oracle,11,hero,3,闪烁匕首,item_blink,levels/ch08/enemies/3/items/3
ch08,8,3,神谕者,npc_dota_hero_oracle,11,hero,4,魔杖,item_magic_wand,levels/ch08/enemies/3/items/4
ch09,9,1,沙王,npc_dota_hero_sand_king,12,hero,1,奥术鞋,item_arcane_boots,levels/ch09/enemies/1/items/1
ch09,9,1,沙王,npc_dota_hero_sand_king,12,hero,2,闪烁匕首,item_blink,levels/ch09/enemies/1/items/2
ch09,9,1,沙王,npc_dota_hero_sand_king,12,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch09/enemies/1/items/3
ch09,9,1,沙王,npc_dota_hero_sand_king,12,hero,4,魔杖,item_magic_wand,levels/ch09/enemies/1/items/4
ch09,9,2,幻影刺客,npc_dota_hero_phantom_assassin,12,hero,1,动力鞋,item_power_treads,levels/ch09/enemies/2/items/1
ch09,9,2,幻影刺客,npc_dota_hero_phantom_assassin,12,hero,2,黯灭,item_desolator,levels/ch09/enemies/2/items/2
ch09,9,2,幻影刺客,npc_dota_hero_phantom_assassin,12,hero,3,碎颅锤,item_basher,levels/ch09/enemies/2/items/3
ch09,9,2,幻影刺客,npc_dota_hero_phantom_assassin,12,hero,4,魔杖,item_magic_wand,levels/ch09/enemies/2/items/4
ch09,9,3,戴泽,npc_dota_hero_dazzle,12,hero,1,奥术鞋,item_arcane_boots,levels/ch09/enemies/3/items/1
ch09,9,3,戴泽,npc_dota_hero_dazzle,12,hero,2,微光披风,item_glimmer_cape,levels/ch09/enemies/3/items/2
ch09,9,3,戴泽,npc_dota_hero_dazzle,12,hero,3,原力法杖,item_force_staff,levels/ch09/enemies/3/items/3
ch09,9,3,戴泽,npc_dota_hero_dazzle,12,hero,4,魔杖,item_magic_wand,levels/ch09/enemies/3/items/4
ch10,10,1,半人马战行者,npc_dota_hero_centaur,14,boss,1,相位鞋,item_phase_boots,levels/ch10/enemies/1/items/1
ch10,10,1,半人马战行者,npc_dota_hero_centaur,14,boss,2,闪烁匕首,item_blink,levels/ch10/enemies/1/items/2
ch10,10,1,半人马战行者,npc_dota_hero_centaur,14,boss,3,恐鳌之心,item_heart,levels/ch10/enemies/1/items/3
ch10,10,1,半人马战行者,npc_dota_hero_centaur,14,boss,4,洞察烟斗,item_pipe,levels/ch10/enemies/1/items/4
ch12,12,1,潮汐猎人,npc_dota_hero_tidehunter,16,hero,1,奥术鞋,item_arcane_boots,levels/ch12/enemies/1/items/1
ch12,12,1,潮汐猎人,npc_dota_hero_tidehunter,16,hero,2,闪烁匕首,item_blink,levels/ch12/enemies/1/items/2
ch12,12,1,潮汐猎人,npc_dota_hero_tidehunter,16,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch12/enemies/1/items/3
ch12,12,1,潮汐猎人,npc_dota_hero_tidehunter,16,hero,4,洞察烟斗,item_pipe,levels/ch12/enemies/1/items/4
